Jacob	22,074	Isabella	22,872
238	Shawn	1,460	Ashlynn	1,317
239	Zane	1,458	Callie	1,316
240	Emiliano	1,449	Lexi	1,310
241	Sergio	1,449	Hope	1,309
242	Ezra	1,442	Eliza	1,307
243	Jared	1,439	Teagan	1,300
244	Charlie	1,428	Alexia	1,294
245	Keegan	1,427	Kayleigh	1,293
246	Chance	1,426	Harmony	1,289
247	Drew	1,411	Karen	1,286
248	Troy	1,382	Nadia	1,286
249	Simon	1,366	Cassidy	1,285
250	Greyson	1,365	Christina	1,284
251	Corbin	1,358	Jazmin	1,280
252	Clayton	1,357	Kyla	1,279
253	Myles	1,351	Alondra	1,278
254	Xander	1,348	Breanna	1,278
255	Dante	1,335	Quinn	1,276
256	Erik	1,335	Adalyn	1,266
257	Rafael	1,331	Kaydence	1,263
258	Martin	1,330	Fiona	1,261
259	Theodore	1,326	Allyson	1,258
260	Dalton	1,325	Esther	1,251
261	Dominick	1,325	Josie	1,248
262	Cash	1,318	Mariana	1,247
263	Skyler	1,318	Haylee	1,241
264	Marco	1,308	Hazel	1,239
265	Caiden	1,293	Alina	1,236
266	Ty	1,293	Lucia	1,236
267	Johnny	1,291	Danna	1,224
268	Gregory	1,286	Leilani	1,224
269	Kyler	1,282	Alison	1,216
270	Brennan	1,276	Camille	1,215
271	Emmett	1,275	Fatima	1,212
272	Luca	1,275	Jazmine	1,209
273	Roberto	1,272	Ximena	1,209
274	Declan	1,256	Laura	1,203
275	Kameron	1,251	Presley	1,203
276	Quinn	1,234	Cora	1,200
277	Jameson	1,227	Cecilia	1,199
278	Amir	1,217	Genevieve	1,195
279	Bennett	1,209	Alejandra	1,188
280	Colby	1,204	Bianca	1,177
281	Pedro	1,192	Mallory	1,172
282	Emanuel	1,190	Camryn	1,171
283	Graham	1,189	Esmeralda	1,165
284	Malik	1,188	Abby	1,144
285	Dean	1,180	Dakota	1,141
286	Jasper	1,178	Juliet	1,141
287	Everett	1,177	Brynn	1,139
288	Aden	1,170	Londyn	1,117
289	Dawson	1,167	Willow	1,116
290	Angelo	1,153	Macy	1,113
291	Reid	1,145	Maddison	1,113
292	Dakota	1,130	Kara	1,112
293	Abel	1,124	Karina	1,106
294	Zander	1,111	Kyleigh	1,105
295	Paxton	1,110	Veronica	1,103
296	Judah	1,107	Daniella	1,101
297	Ruben	1,101	Isla	1,098
298	Jakob	1,095	Norah	1,089
299	Jayce	1,093	Ivy	1,084
300	Finn	1,091	Miriam	1,074
301	Elliot	1,078	Malia	1,071
302	Frank	1,072	Caitlyn	1,070
303	Lane	1,061	Heidi	1,069
304	Dillon	1,052	Kamryn	1,066
305	Fabian	1,041	Joanna	1,062
306	Brock	1,036	Kelly	1,058
307	Derrick	1,035	Kinsley	1,043
308	Emilio	1,033	Phoebe	1,036
309	Ryker	1,030	Kira	1,034
310	Joaquin	1,029	Annabella	1,027
311	Marcos	1,027	Tiffany	1,025
312	Devon	1,021	Katelynn	1,023
313	Anderson	1,019	Emery	1,022
314	Grady	1,015	Carmen	1,012
315	Elliott	1,014	Emerson	1,009
316	Holden	1,010	Iris	1,008
317	Corey	1,006	Crystal	1,000
318	Amari	1,004	Nina	999
319	Dallas	999	Emely	998
320	Danny	996	Madeleine	993
321	Cruz	990	Rylie	991
322	Allen	967	Adeline	988
323	Lorenzo	963	Karla	988
324	Trey	963	Georgia	987
325	Leland	959	Heaven	984
326	Armando	955	Kiara	982
327	Rowan	954	Paris	981
328	Taylor	951	Cassandra	979
329	Cade	949	Selena	978
330	Felix	945	Guadalupe	975
331	Colt	944	Evangeline	964
332	Adan	942	Lilah	963
333	Tristen	938	Tatum	963
334	Julius	933	Madilyn	962
335	Jayson	931	Tiana	962
336	Nehemiah	928	Aniya	953
337	Zayden	927	Rose	953
338	Julio	926	Madisyn	948
339	Raul	924	Kaelyn	944
340	Braydon	923	Caitlin	943
341	Darius	923	Sasha	942
342	Louis	910	Luna	939
343	Ronald	908	Audrina	938
344	Trent	895	Fernanda	936
345	Payton	888	Angelica	929
346	Keith	886	Jasmin	926
347	Randy	881	Ruth	925
348	Jax	879	Kyra	923
349	Enrique	878	Emilia	922
350	Desmond	876	Lilliana	922
351	Jett	871	Ayla	912
352	Scott	871	Janiyah	911
353	Dustin	864	Aria	901
354	Gerardo	864	Courtney	899
355	Phillip	862	Ainsley	898
356	Beckett	858	Lia	891
357	Ali	848	Yaretzi	890
358	Romeo	846	Maliyah	888
359	Kellen	838	Raegan	888
360	Cohen	834	Tatiana	885
361	Pablo	830	Monica	884
362	Ismael	822	Madalyn	881
363	Jaime	813	Athena	880
364	Larry	810	Mila	879
365	Kellan	807	Noelle	874
366	Brycen	803	Anastasia	873
367	Keaton	803	Julissa	868
368	Braylen	796	Jaelyn	864
369	Gunner	796	Bethany	861
370	Brayan	787	Juliette	860
371	Landyn	784	Imani	858
372	Walter	780	Kenzie	853
373	Jimmy	770	Macie	850
374	Marshall	768	Savanna	843
375	Beau	766	Jamie	840
376	Donald	761	Kiley	839
377	Esteban	760	Giuliana	838
378	Phoenix	760	April	836
379	Saul	760	Lena	835
380	Karson	759	Joselyn	834
381	Reed	757	Adelyn	833
382	Brenden	751	Cynthia	833
383	Tony	745	Kailey	833
384	Jerry	744	Jane	832
385	Kade	742	Alessandra	830
386	Jamari	740	Arabella	828
387	Mitchell	737	Carolina	820
388	Colten	729	Nayeli	820
389	Arthur	727	Julie	815
390	Brett	727	Gia	813
391	Rocco	725	Kaylie	812
392	Dennis	722	Michaela	812
393	Jalen	719	Annie	810
394	Tate	717	Elaina	809
395	Chris	715	Janelle	809
396	Quentin	713	Amiyah	805
397	Titus	712	Madelynn	805
398	Casey	705	Lyric	802
399	Izaiah	701	Baylee	801
400	King	701	Kaylin	801
401	Brooks	699	Addisyn	799
402	Mathew	699	Lindsey	799
403	Philip	697	Jimena	796
404	Russell	697	Rebekah	791
405	Albert	693	Nyla	789
406	Darren	693	Anya	786
407	Zackary	693	Jazlyn	783
408	Gael	691	Finley	778
409	Braeden	688	Holly	771
410	Dane	683	Dulce	768
411	Gustavo	683	Melany	768
412	Cullen	677	Talia	765
413	Jay	677	Itzel	763
414	Kolton	677	Scarlet	760
415	Rodrigo	673	Cameron	756
416	Alberto	670	Cali	755
417	Leon	666	Kiera	755
418	Damon	665	Angie	752
419	Alec	664	Elle	749
420	Arturo	656	Journey	748
421	Davis	656	Elliana	747
422	Milo	654	Estrella	745
423	Waylon	653	Erica	741
424	Moises	650	Sarai	741
425	Curtis	649	Danica	736
426	Walker	649	Brenda	732
427	August	646	Vivienne	729
428	Kobe	643	Brittany	727
429	Matteo	641	Erika	724
430	Emerson	635	Hayley	720
431	Marvin	633	Mikaela	717
432	Mauricio	633	Kamila	716
433	Maximilian	632	Harley	715
434	Orlando	631	Adelaide	709
435	River	631	Brylee	704
436	Reece	630	Helen	703
437	Issac	626	Aubrie	702
438	Bryant	620	Lacey	701
439	Yahir	617	Ciara	698
440	Uriel	615	Kadence	697
441	Hugo	614	Nataly	697
442	Mohamed	605	Johanna	696
443	Enzo	602	Kailyn	696
444	Lance	602	Adalynn	691
445	Karter	601	Madyson	691
446	Porter	600	Shayla	691
447	Zachariah	600	Bridget	687
448	Maurice	597	Janiya	685
449	Ricky	595	Serena	683
450	Leonel	594	Gemma	682
451	Joe	592	Lilian	681
452	Johan	592	Lillie	681
453	Dexter	590	Paola	680
454	Nikolas	590	Jayleen	677
455	Jonas	588	Aleah	676
456	Justice	585	Celeste	673
457	Salvador	580	Braelyn	672
458	Knox	579	Tenley	672
459	Lawrence	579	Natasha	671
460	Gideon	576	Charlie	669
461	Alfredo	572	Kassidy	668
462	Maximiliano	570	Amari	661
463	Talon	569	Dana	653
464	Byron	565	Brisa	651
465	Nickolas	565	Parker	651
466	Solomon	562	Annika	649
467	Orion	560	Aileen	645
468	Braiden	555	Lexie	645
469	Alijah	552	Brenna	641
470	Kristopher	552	Nia	641
471	Rhys	549	Sage	640
472	Sam	549	Emilee	636
473	Jacoby	547	Desiree	635
474	Jamarion	547	Skyler	635
475	Davion	545	Jaliyah	634
476	Gary	545	Anabelle	632
477	Pierce	544	Lucille	630
478	Kason	543	Anahi	628
479	Mekhi	543	Kayden	626
480	Cason	542	Lana	626
481	Noel	542	Anaya	625
482	Ramon	541	Dayana	624
483	Shaun	540	Joy	623
484	Warren	536	Lilyana	623
485	Douglas	533	Viviana	621
486	Reese	532	Logan	620
487	Armani	530	Daphne	618
488	Cyrus	530	Denise	618
489	Ibrahim	530	Priscilla	618
490	Quinton	530	Kennedi	616
491	Ernesto	529	Skye	613
492	Jaydon	527	Zariah	613
493	Isaias	526	Rowan	608
494	Frederick	525	Francesca	605
495	Chandler	524	Elisa	601
496	Ryland	523	Amira	600
497	Terry	520	Kimora	600
498	Deandre	517	Jaylynn	599
499	Ari	515	Kenley	595
500	Jamison	515	Lizbeth	594
501	Dorian	514	Lauryn	592
502	Khalil	513	Melina	590
503	Moses	512	Abbigail	589
504	Franklin	510	Arielle	589
505	London	509	Camilla	589
506	Maverick	509	Jaelynn	589
507	Muhammad	509	Gloria	588
508	Ronan	507	Myla	588
509	Amare	505	Liberty	587
510	Eddie	503	Alyson	586
511	Roger	503	Brynlee	586
512	Aldo	501	Claudia	582
513	Nasir	501	Alissa	581
514	Adriel	500	Marlee	580
515	Brodie	500	Danika	578
516	Demetrius	500	Hanna	578
517	Kendrick	497	Sandra	578
518	Morgan	497	Nancy	572
519	Kelvin	496	Alanna	571
520	Prince	496	Miracle	570
521	Tobias	495	Hailee	569
522	Ahmad	494	Jaycee	569
523	Malcolm	494	Caylee	567
524	Trace	493	Gracelyn	562
525	Keagan	492	Annalise	554
526	Alvin	490	Liana	554
527	Giovani	490	Yareli	553
528	Skylar	490	Cindy	552
529	Conor	488	Eloise	552
530	Abram	487	Asia	550
531	Camron	487	Marisol	550
532	Bruce	485	Bailee	549
533	Jonathon	485	Helena	548
534	Quincy	483	Lorelei	547
535	Noe	480	Justice	546
536	Rohan	478	Maeve	546
537	Ahmed	475	Kali	544
538	Nathanael	475	Jaida	542
539	Kamari	469	Natalee	541
540	Kieran	469	Whitney	541
541	Barrett	467	Aiyana	540
542	Finnegan	467	Anika	540
543	Kristian	467	Laney	539
544	Remington	466	Olive	539
545	Boston	461	Kassandra	538
546	Chad	461	Kaia	536
547	Uriah	459	Ada	533
548	Xzavier	459	Aryanna	533
549	Archer	458	Marilyn	533
550	Bobby	457	Farrah	530
551	Guillermo	457	Clarissa	529
552	Micheal	457	Halle	528
553	Rodney	457	Amani	527
554	Gunnar	456	Janessa	524
555	Moshe	455	Mckinley	524
556	Kamden	454	Sylvia	524
557	Roy	453	Charlee	522
558	Julien	451	Skyla	522
559	Melvin	451	Aleena	518
560	Aaden	450	Madilynn	517
561	Atticus	450	Bristol	516
562	Ulises	450	Gwendolyn	516
563	Kane	449	Meghan	516
564	Kasen	448	Tori	516
565	Carl	446	Rosa	514
566	Lucian	446	Giana	513
567	Ezequiel	445	Lea	513
568	Jeffery	445	Marie	513
569	Javon	444	Shaniya	513
570	Terrance	444	Isabela	511
571	Jadon	443	Kaliyah	511
572	Malakai	442	Hallie	509
573	Nelson	442	Averie	508
574	Harley	439	Aylin	508
575	Aarav	438	Dylan	508
576	Jon	438	Kristen	508
577	Triston	438	Kaylynn	507
578	Cory	436	Zoie	507
579	Kian	435	Saniyah	505
580	Alonzo	434	Lesly	504
581	Marc	433	Madalynn	503
582	Asa	431	Yasmin	502
583	Gianni	430	Kaleigh	501
584	Kole	428	Kiana	501
585	Dayton	427	Rihanna	500
586	Jermaine	427	Regina	499
587	Wilson	427	Sloane	497
588	Terrence	425	Wendy	497
589	Felipe	423	Anabella	496
590	Kale	422	Elisabeth	496
591	Kendall	422	Rosalie	496
592	Nico	422	Kristina	495
593	Isiah	421	Eve	494
594	Dominik	420	Kathleen	494
595	Tommy	420	Amya	493
596	Finley	419	June	493
597	Cristopher	417	Lindsay	490
598	Tristin	416	Saniya	488
599	Cannon	414	Virginia	488
600	Ariel	413	Aspen	487
601	Jase	413	Elsa	487
602	Kash	413	Raven	486
603	Madden	413	Samara	486
604	Mohammed	413	Meredith	485
605	Wade	413	Raquel	485
606	Marlon	411	Siena	485
607	Rhett	411	Anne	484
608	Layne	410	Casey	484
609	Memphis	406	Nylah	484
610	Jessie	405	Perla	484
611	Jamal	404	Ayanna	483
612	Joey	404	Mckayla	483
613	Nash	404	Jaylee	480
614	Allan	403	Shiloh	479
615	Reginald	402	Patricia	478
616	Ace	400	Jaylin	477
617	Lawson	400	Aimee	474
618	Giovanny	399	Lainey	474
619	Aron	398	Maia	474
620	Zaiden	398	Mariam	474
621	Korbin	396	Linda	473
622	Rashad	396	Nathalie	472
623	Will	396	Sherlyn	472
624	Urijah	390	Isis	471
625	Billy	389	Maleah	471
626	Leonard	388	Jazlynn	469
627	Rene	388	Angelique	468
628	Brennen	386	Annabel	467
629	Branden	385	Raelynn	467
630	Kenny	384	Paityn	465
631	Kody	384	Marina	463
632	Tomas	384	Ryan	463
633	Willie	384	Tabitha	463
634	Alonso	380	Ansley	461
635	Blaine	380	Elyse	461
636	Brendon	380	Myah	461
637	Darian	379	Adelynn	460
638	Aydan	378	Bryanna	460
639	Arjun	377	Cara	460
640	Raiden	377	Diamond	460
641	Sincere	377	Jadyn	460
642	Terrell	377	Joslyn	460
643	Layton	374	Kourtney	459
644	Marquis	374	Selah	459
645	Channing	373	Haleigh	458
646	Iker	372	Elsie	455
647	Chace	371	Dahlia	451
648	Mohammad	370	Leighton	451
649	Jordyn	369	Aliya	449
650	Messiah	369	Haven	449
651	Sullivan	369	Jaylene	449
652	Brent	368	Lailah	449
653	Omari	368	Amara	447
654	Santino	367	Arely	446
655	Deshawn	366	Briley	446
656	Raphael	366	Sariah	446
657	Zechariah	366	Jaylah	445
658	Harry	364	Karlee	445
659	Jaylin	364	Taryn	444
660	Elisha	363	Brinley	443
661	Jefferson	363	America	441
662	Luciano	363	Amiya	440
663	Ray	363	Kaitlin	439
664	Craig	361	Kailee	438
665	Yandel	360	Milan	435
666	Bently	359	Mercedes	433
667	Tripp	359	Phoenix	433
668	Tristian	359	Greta	431
669	Aydin	358	Lilianna	431
670	Francis	358	Simone	431
671	Toby	356	Christine	430
672	Kylan	354	Sidney	430
673	Lee	353	Mollie	428
674	Ronnie	353	Vera	428
675	Semaj	353	Alisson	427
676	Alexzander	352	Ellen	427
677	Alessandro	351	Amelie	426
678	Gerald	348	Noemi	424
679	Jadiel	348	Taraji	423
680	Dwayne	347	Kallie	422
681	Javion	346	Heather	420
682	Markus	345	Keyla	420
683	Stanley	345	Clare	419
684	Kolby	343	Jessie	419
685	Neil	342	Aisha	417
686	Davin	341	Catalina	417
687	Harper	341	Ally	416
688	Teagan	341	Shannon	416
689	Makai	340	Taliyah	414
690	Cale	339	Zion	413
691	Jamie	339	Jordynn	412
692	Ben	336	Luciana	411
693	Clark	335	Miah	411
694	Callen	334	Teresa	409
695	Damarion	334	Adrienne	408
696	Deacon	334	Irene	407
697	Kaeden	334	Martha	407
698	Jairo	333	Rachael	407
699	Kareem	333	Yesenia	407
700	Aidyn	332	Paloma	406
701	Damion	332	Barbara	405
702	Davian	332	Jaiden	405
703	Jamir	331	Jolie	405
704	Rex	331	Janae	404
705	Lamar	330	Jaqueline	404
706	Duncan	329	Leanna	404
707	Jorden	329	Amina	403
708	Matias	329	Evie	403
709	Case	328	Macey	403
710	Jaeden	328	Destinee	399
711	Jasiah	327	Abril	398
712	Tyrone	327	Deanna	395
713	Vicente	327	Lisa	395
714	Aryan	326	Kenya	394
715	Yusuf	324	Rosemary	393
716	Lewis	323	Alani	392
717	Zayne	323	Jocelynn	392
718	Gavyn	321	Kaitlynn	392
719	Giancarlo	319	Sonia	392
720	Rogelio	319	Zara	392
721	Rolando	318	Paulina	390
722	Jensen	317	Regan	390
723	Osvaldo	317	Krystal	389
724	Soren	317	Ali	386
725	Camren	316	Elin	386
726	Cedric	316	Evelynn	385
727	Luka	316	Alia	384
728	Ellis	314	Ariella	384
729	Mathias	314	Chaya	384
730	Rylee	314	Alena	383
731	Draven	313	Jazmyn	382
732	Maxim	313	Raelyn	382
733	Nikolai	313	Corinne	381
734	Darwin	312	Emilie	380
735	Bradyn	311	Jayde	380
736	Brantley	310	Carolyn	377
737	Emery	310	Jakayla	377
738	Zavier	310	Karissa	377
739	Zackery	309	Cheyanne	376
740	Trevon	307	Cecelia	375
741	Jerome	306	Celia	375
742	Rudy	306	Laylah	375
743	Harold	305	Mariyah	375
744	Royce	305	Zaniyah	374
745	Alfonso	304	Emmalyn	373
746	Daxton	304	Luz	373
747	Beckham	303	Kaiya	372
748	Darrell	303	Iliana	371
749	Jaylon	303	Leyla	370
750	Rory	303	Lorelai	370
751	Rodolfo	300	Cherish	368
752	Tatum	300	Giada	368
753	Keenan	299	Giovanna	367
754	Sterling	298	Carla	366
755	Van	298	Larissa	364
756	Bruno	297	Campbell	360
757	Hamza	297	Carley	360
758	Ayaan	296	Jaden	360
759	Gauge	296	Adyson	359
760	Rayan	295	Carlee	359
761	Zachery	295	Gisselle	359
762	Heath	293	Lylah	359
763	Killian	293	Felicity	358
764	Dax	292	Julianne	358
765	Jagger	292	Aryana	357
766	Jovani	291	Frances	356
767	Junior	291	Natalya	356
768	Conrad	290	Tamia	356
769	Misael	290	Ivanna	355
770	Augustus	289	Kaya	355
771	Roland	289	Reyna	355
772	Vance	289	Bria	354
773	Alvaro	287	Deborah	354
774	Bode	287	Ingrid	354
775	Eugene	287	Kaylyn	354
776	Ramiro	287	Tara	354
777	Yosef	287	Harlow	353
778	Adrien	286	Alisha	352
779	Carmelo	286	Carlie	352
780	Kamron	282	Moriah	352
781	Johnathon	281	Yoselin	352
782	Kolten	281	Haylie	350
783	Wayne	281	Jenny	350
784	Gilberto	280	Susan	350
785	Quintin	279	Ayana	349
786	Steve	279	Cristina	349
787	Zain	279	Maryam	349
788	Antoine	278	Sawyer	349
789	Niko	277	Rylan	347
790	Tyrell	276	Sanaa	347
791	Hassan	275	Jaidyn	346
792	Coleman	273	Libby	346
793	Valentin	273	Yaritza	346
794	Bronson	272	Emmalee	345
795	Elian	272	Allisson	344
796	Frankie	272	Kasey	344
797	Jaxton	272	Tianna	343
798	Jean	272	Elaine	342
799	Jeramiah	272	Kaylen	342
800	Clay	271	Matilda	342
801	Adonis	269	Sharon	341
802	Jamar	269	Maritza	340
803	Kymani	269	Patience	339
804	Freddy	268	Aliana	338
